0, 0, 36, 12, -1, -1, -1, -1
1, 0.018374, 4, 2, -1, -1, -1, -1
2, 0.001057, 72, 130, -1, -1, -1, -1
3, 0.006016, 337, 1285, 60221.4, 358.453, 0, -1
7, 0.013962, 120, 351, 179.745, 10.6199, -1, -1
6, 0.002081, 848, 3267, 235.352, 7.16907, -1, -1
7, 0.013805, 285, 1022, 109.197, 4.93214, -1, -1
8, 0.006093, 285, 1000, 109.197, 4.40677, -1, -1
9, 0.005378, 285, 1000, 12.3138, 4.09715, -1, -1
6, 0.001536, 655, 2298, 11.5802, 4.24087, -1, -1
7, 0.008329, 368, 1310, 10.9184, 4.03597, -1, -1
8, 0.006468, 368, 1310, 10.9184, 3.98839, -1, -1
9, 0.006088, 368, 1310, 10.7171, 3.89791, -1, -1
6, 0.001261, 583, 1980, 10.7171, 4.02142, -1, -1
7, 0.006422, 371, 1308, 10.2842, 3.95098, -1, -1
8, 0.004851, 371, 1303, 10.2842, 3.9281, -1, -1
9, 0.00598, 371, 1303, 10.2219, 3.86881, -1, -1
6, 0.001708, 759, 2848, 11.5658, 4.17281, -1, -1
7, 0.010087, 469, 1738, 9.70082, 3.87503, -1, -1
8, 0.009227, 469, 1736, 9.70082, 3.86302, -1, -1
9, 0.007739, 469, 1736, 7.73843, 3.79057, -1, -1
7, 0.004478, 452, 1669, 7.73843, 3.79059, -1, -1
4, 0.116102, 452, 1669, 7.73843, 3.79059, -1, -1
5, 0.027814, 0, 0, 0, -nan, -1, -1
-1, 0.169363, 0, 0, 0, -nan, 0, 14
